"MSFT","20161123","60.4"
"MSFT","20161124","60.4"
"MSFT","20161125","60.53"
"MSFT","20161129","61.09"
"MSFT","20161130","60.26"
"MSFT","20161201","59.2"
"MSFT","20161202","59.25"
"MSFT","20161205","60.22"
"MSFT","20161206","59.95"
"MSFT","20161208","61.01"
"MSFT","20161209","61.97"
"MSFT","20161219","63.62"
"MSFT","20161220","63.54"
"MSFT","20161221","63.54"
"MSFT","20161222","63.59"
"MSFT","20161223","63.24"
"MSFT","20161227","63.28"
"MSFT","20161228","62.99"
"MSFT","20161229","62.9"
"MSFT","20161230","62.14"
"MSFT","20170103","62.27"
"MSFT","20170104","62.3"
"MSFT","20170105","62.3"
"MSFT","20170106","62.84"
"MSFT","20170109","62.7"
"MSFT","20170110","62.62"
"MSFT","20170111","63.11"
"MSFT","20170112","62.61"
"MSFT","20170113","62.7"
"MSFT","20170117","62.53"
"MSFT","20170118","62.5"
"MSFT","20170119","62.3"
"MSFT","20170120","62.74"
"MSFT","20170123","62.99"
